,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
2095,8842d84f-62f7-44f3-bd6a-a0c31b437ad4,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
2096,5ef03116-131a-46eb-b1a7-dc93c1075840,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
2097,66d81a7e-6382-40e5-9a31-561311cf19d9,08/2014,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Weiß
2098,0eefa04c-d24d-4786-8114-831e99ede41f,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
2099,612d6ce6-7716-4984-abb0-6e6144fa1c46,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
2100,e89af3d1-2349-4c3e-9937-bf97f7cf2374,,,,,,
2101,1ff1444c-7342-4b6e-ba9c-547ef1c2e61d,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
2102,e8ab5596-60ac-431c-9c52-11de4231d54c,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
2103,0101e200-3077-4527-839c-71b137dd73a3,,,,,,
2104,73b7b44d-3c08-4ab2-91a3-34e21332f67d,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
2105,9abe7c42-abbc-4755-ae85-9935bf7c9beb,07/2013,Benzin,Automatik,165 kW (224 PS),1.984 cm³,Rot Metallic
2106,9d7a0f08-6b2c-4197-96d9-fe485a1aa592,,,,,,
2107,439aeb03-26bc-4b3f-b1f3-2939cc6f8693,07/2013,Benzin,Automatik,165 kW (224 PS),1.984 cm³,Rot Metallic
2108,e6e0a0be-5063-43dd-81ad-32e4aeb6ae67,04/2010,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Braun Metallic
2109,fcb5eb02-6184-4602-851e-2251b84de360,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
2110,a7c72932-e7d3-4a3f-af48-3a9209a04e15,05/2012,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Silber Metallic
